code,year,hospital_stay_length,med_tech_availability_p_mil_ppl,expenditure_per_capita,life_expectancy,avoidable_deaths,health_expenditure_as_percent_gdp
KOR,2016,18.018791946308724,403.9583333333333,2008.0982666,82.2756097560976,118.8,6.893
KOR,2017,18.977181208053693,415.66083333333336,2220.56420898,82.6268292682927,110.5,7.048
KOR,2018,19.43959731543624,427.3494444444445,2501.13964844,82.6268292682927,59.4,7.463
KOR,2019,19.076510067114093,442.2136111111111,2605.9934082,83.2268292682927,56.3,8.127
LUX,2000,7.746621621621622,7.96,2901.0,77.8731707317073,186.5,5.925
LUX,2001,7.726351351351352,7.883333333333333,3109.0,77.8243902439025,174.0,6.381
LUX,2002,8.602702702702704,8.375,3601.0,77.9658536585366,174.5,6.76
LUX,2003,8.493918918918919,9.636666666666668,4607.0,77.7268292682927,168.5,6.961
LUX,2004,8.265100671140939,10.079999999999998,5610.0,79.1219512195122,132.0,7.28
LUX,2005,8.416107382550335,6.826111111111112,5818.0,79.4317073170732,148.5,7.125
LUX,2006,8.241891891891893,6.919444444444444,6071.0,79.2878048780488,153.5,6.638
LUX,2007,8.608783783783784,7.023333333333333,6671.0,79.3829268292683,146.0,6.158
LUX,2008,8.447972972972973,7.272777777777778,7579.0,80.5390243902439,144.5,6.231
LUX,2009,8.508108108108107,7.185555555555556,7671.0,80.6365853658537,131.5,6.95
LUX,2010,8.538926174496645,7.100555555555555,7460.0,80.6317073170732,157.5,6.662
LUX,2011,8.54527027027027,6.674444444444445,7175.0,80.9878048780488,144.0,5.952
LUX,2012,8.512162162162163,6.406666666666666,6029.0,81.3926829268293,131.5,5.294
LUX,2013,8.41554054054054,6.156666666666666,6357.0,81.8,158.5,5.236
LUX,2014,8.452702702702704,6.2188888888888885,6547.0,82.2292682926829,122.0,5.23
LUX,2015,8.382432432432433,5.814444444444444,5422.0,82.2926829268293,66.8,5.081
LUX,2016,8.495945945945946,5.582222222222222,5475.0,82.6853658536585,63.6,5.071
MEX,2001,5.907382550335571,108.07,366.98071289,73.867,165.3,4.582
MEX,2002,6.038255033557047,128.42,388.02792358,74.106,169.1,4.83
MEX,2003,5.9818791946308725,140.68666666666667,414.04000854,74.274,169.9,5.54
MEX,2004,6.1516778523489934,50.92777777777778,448.06021118,74.372,167.3,5.684
MEX,2005,5.844295302013423,53.22138888888889,485.67388916,74.376,170.2,5.581
MEX,2006,5.875167785234899,61.176388888888894,516.06396484,74.331,169.9,5.406
MEX,2007,5.886577181208054,71.98916666666668,560.4942627,74.238,167.5,5.507
MEX,2008,5.626174496644295,79.60361111111112,576.71539307,74.152,173.1,5.446
MEX,2009,5.711409395973154,87.27166666666666,496.8142395,74.119,50664.5,5.848
MEX,2010,5.793959731543624,99.87055555555555,539.26550293,74.19,50921.5,5.49
MEX,2011,5.643624161073825,102.99583333333332,570.73046875,74.365,167.8,5.301
MEX,2012,5.571812080536913,120.1297222222222,587.82843018,74.574,170.5,5.421
MEX,2013,5.657046979865771,124.48666666666668,631.21350098,74.739,168.6,5.577
MEX,2014,5.728187919463087,132.93305555555557,615.10314941,74.797,175.0,5.353
MEX,2015,5.735570469798658,135.83305555555555,558.1651001,74.682,60118.0,5.527
MEX,2016,5.424161073825503,144.05333333333334,492.87399292,74.412,63115.5,5.385
MEX,2017,5.626845637583892,150.03277777777777,514.88970947,74.138,64294.5,5.312
MEX,2018,6.01523178807947,146.71666666666667,530.64782715,74.015,184.6,5.238
MEX,2019,5.816556291390729,159.36,552.70422363,74.202,188.8,5.297
NLD,2000,9.740939597315435,1.595,2028.0,77.9878048780488,13821.0,7.707
NLD,2004,8.016778523489933,57.58,3689.0,79.0951219512195,13057.0,9.111
NLD,2005,7.756375838926174,42.45125,3823.0,79.3463414634146,13111.0,9.097
NLD,2006,7.481208053691275,70.3025,4080.0,79.6975609756098,12631.0,9.081
NLD,2007,7.168456375838926,54.37875,4696.0,80.0975609756098,12629.0,9.053
NLD,2008,6.913422818791947,48.620000000000005,5382.0,80.2512195121951,12736.0,9.277
NLD,2009,6.6328859060402685,51.87583333333333,5283.0,80.5487804878049,12511.0,9.993
NLD,2010,6.385906040268456,55.395,5192.0,80.7024390243902,12538.0,10.155
NLD,2011,6.050335570469799,57.85333333333333,5562.0,81.2048780487805,12970.0,10.234
NLD,2012,5.93020134228188,53.60166666666667,5285.0,81.1048780487805,13053.0,10.539
NLD,2013,5.300675675675675,52.62166666666666,5533.0,81.3048780487805,12674.0,10.584
NLD,2014,5.072297297297298,58.35,5602.0,81.7073170731707,12519.0,10.567
NLD,2015,4.983108108108108,57.1875,4677.0,81.509756097561,194.0,10.324
NLD,2016,4.985135135135135,56.72958333333334,4644.0,81.5609756097561,190.7,10.294
NLD,2017,4.935135135135135,58.21,4935.0,81.7609756097561,12860.0,10.108
NLD,2018,4.819463087248322,61.01291666666666,5331.0,81.8121951219512,17967.0,10.02
NLD,2019,4.800000000000001,62.13791666666666,5341.0,82.1121951219512,17192.0,10.14
NZL,2000,12.409395973154362,22.665,1054.91210938,78.6365853658537,1820.0,7.47
NZL,2001,13.463513513513517,40.8725,1054.32800293,78.6926829268293,1838.0,7.579
NZL,2002,14.148993288590605,36.55166666666667,1250.92895508,78.8463414634146,1804.0,7.9
NZL,2003,15.028859060402684,28.08625,1611.79040527,79.1463414634146,1694.0,7.722
NZL,2004,15.604026845637584,36.09333333333333,1983.18701172,79.5487804878049,1655.0,7.901
NZL,2006,16.488590604026847,17.345,2305.14648438,80.0487804878049,1640.5,8.638
NZL,2007,14.81418918918919,42.461666666666666,2706.79956055,80.1512195121951,1696.0,8.329
NZL,2008,14.44496644295302,26.34083333333333,2851.11914063,80.3512195121951,1642.5,9.124
NZL,2009,13.833783783783783,27.93416666666667,2713.81420898,80.7024390243902,1651.0,9.621
NZL,2010,14.60135135135135,29.00333333333333,3233.77856445,80.9048780487805,1546.5,9.593
NZL,2011,13.916216216216217,29.781666666666663,3656.73071289,81.1560975609756,1569.5,9.52
NZL,2012,13.06081081081081,29.750833333333333,3856.1730957,81.4073170731707,1604.0,9.652
NZL,2013,13.324324324324325,31.344166666666663,4014.97460938,81.4048780487805,3137.5,9.36
NZL,2014,10.80945945945946,31.878,4192.74365234,81.4568292682927,3329.0,9.402
NZL,2015,12.152702702702705,32.248,3600.95629883,81.6124390243903,68.4,9.283
